iter	Passed	Remaining
414	2904	4094
415	2911	4087
416	2918	4080
417	2925	4072
418	2931	4064
419	2938	4057
420	2944	4049
421	2951	4042
422	2958	4035
423	2965	4028
424	2971	4020
425	2978	4013
426	2985	4006
427	2992	3999
428	2999	3992
429	3005	3984
430	3012	3977
431	3018	3969
432	3025	3961
433	3032	3954
434	3038	3946
435	3045	3939
436	3052	3932
437	3058	3924
438	3065	3916
439	3071	3909
440	3079	3902
441	3085	3895
442	3092	3888
443	3098	3880
444	3104	3872
445	3111	3864
446	3118	3857
447	3126	3851
448	3132	3844
449	3139	3837
450	3147	3831
451	3154	3823
452	3160	3816
453	3167	3809
454	3174	3802
455	3180	3794
456	3187	3787
457	3194	3780
458	3200	3772
459	3207	3765
460	3214	3758
461	3221	3751
462	3227	3743
463	3234	3736
464	3241	3729
465	3248	3722
466	3254	3714
467	3261	3707
468	3267	3699
469	3273	3691
470	3279	3683
471	3285	3675
472	3291	3667
473	3297	3659
474	3304	3651
475	3310	3644
476	3317	3637
477	3323	3629
478	3330	3622
479	3336	3614
480	3342	3606
481	3348	3598
482	3355	3591
483	3361	3584
484	3368	3576
485	3375	3569
486	3381	3562
487	3388	3554
488	3394	3547
489	3401	3539
490	3407	3532
491	3414	3525
492	3422	3519
493	3428	3511
494	3436	3505
495	3444	3499
496	3453	3495
497	3460	3488
498	3469	3483
499	3477	3477
500	3484	3470
501	3491	3463
502	3498	3456
503	3505	3449
504	3512	3442
505	3519	3436
506	3527	3429
507	3534	3423
508	3542	3416
509	3550	3411
510	3558	3404
511	3566	3399
512	3574	3393
513	3582	3387
514	3590	3381
515	3598	3375
516	3605	3368
517	3613	3362
518	3620	3355
519	3627	3348
520	3635	3342
521	3643	3336
522	3649	3328
523	3657	3322
524	3664	3315
525	3671	3308
526	3678	3301
527	3685	3294
528	3692	3287
529	3699	3280
530	3706	3273
531	3712	3266
532	3719	3258
533	3725	3251
534	3732	3244
535	3739	3237
536	3747	3230
537	3760	3228
538	3778	3231
539	3789	3228
540	3806	3229
541	3818	3226
542	3825	3219
543	3833	3213
544	3841	3206
545	3848	3199
546	3855	3192
547	3864	3187
548	3872	3180
549	3880	3174
550	3886	3167
551	3894	3160
552	3900	3152
553	3905	3144
554	3912	3136
555	3918	3129
556	3924	3121
557	3930	3113
558	3936	3105
559	3943	3098
560	3949	3090
561	3955	3083
562	3961	3075
563	3968	3067
564	3975	3060
565	3981	3053
566	3988	3045
567	3995	3038
568	4001	3031
569	4008	3023
570	4014	3016
571	4021	3008
572	4027	3001
573	4032	2993
574	4039	2985
575	4045	2977
576	4052	2971
577	4059	2963
578	4065	2956
579	4071	2948
580	4078	2941
581	4084	2933
582	4090	2925
583	4096	2918
584	4103	2911
585	4110	2903
586	4116	2896
587	4122	2888
588	4129	2881
589	4136	2874
590	4142	2866
591	4150	2860
592	4157	2853
593	4163	2846
594	4170	2838
595	4176	2830
596	4183	2823
597	4189	2816
598	4196	2809
599	4202	2801
600	4208	2794
601	4215	2786
602	4221	2779
603	4227	2771
604	4233	2763
605	4239	2756
606	4245	2748
607	4251	2741
608	4258	2733
609	4264	2726
610	4269	2718
611	4276	2711
612	4282	2703
613	4288	2696
614	4294	2688
615	4300	2680
616	4307	2673
617	4314	2666
618	4321	2659
619	4327	2652
620	4334	2645
621	4340	2637
622	4347	2630
623	4353	2623
624	4360	2616
625	4365	2608
626	4372	2600
627	4378	2593
628	4385	2586
629	4392	2579
630	4398	2572
631	4404	2564
632	4411	2557
633	4419	2551
634	4425	2543
635	4432	2536
636	4438	2529
637	4445	2522
638	4451	2515
639	4458	2507
640	4465	2500
641	4470	2493
642	4477	2485
643	4483	2478
644	4489	2471
645	4496	2463
646	4502	2456
647	4509	2449
648	4515	2441
649	4521	2434
650	4528	2427
651	4535	2420
652	4542	2413
653	4554	2409
654	4566	2405
655	4577	2400
656	4585	2394
657	4596	2388
658	4606	2383
659	4613	2376
660	4619	2369
661	4626	2361
662	4632	2354
663	4638	2347
664	4645	2340
665	4651	2332
666	4658	2325
667	4664	2318
668	4670	2310
669	4676	2303
670	4683	2296
671	4689	2288
672	4695	2281
673	4701	2274
674	4708	2266
675	4716	2260
676	4723	2253
677	4731	2247
678	4738	2239
679	4746	2233
680	4753	2226
681	4761	2219
682	4767	2212
683	4776	2206
684	4782	2199
685	4791	2193
686	4797	2185
687	4806	2179
688	4812	2172
689	4819	2165
690	4827	2158
691	4833	2151
692	4840	2144
693	4847	2137
694	4856	2131
695	4862	2123
696	4870	2117
697	4876	2109
698	4883	2102
699	4889	2095
700	4896	2088
701	4903	2081
702	4909	2074
703	4917	2067
704	4924	2060
705	4933	2054
706	4939	2047
707	4946	2039
708	4953	2032
709	4959	2025
710	4967	2019
711	4973	2011
712	4980	2004
713	4987	1997
714	4995	1991
715	5002	1984
716	5008	1976
717	5015	1969
718	5021	1962
719	5029	1955
720	5036	1948
721	5043	1941
722	5049	1934
723	5055	1927
724	5063	1920
725	5069	1913
726	5077	1906
727	5084	1899
728	5091	1892
729	5098	1885
730	5105	1878
731	5112	1871
732	5120	1865
733	5126	1857
734	5132	1850
735	5139	1843
736	5145	1836
737	5152	1829
738	5158	1822
739	5164	1814
740	5171	1807
741	5177	1800
742	5183	1793
743	5190	1785
744	5196	1778
745	5203	1771
746	5208	1764
747	5215	1757
748	5221	1749
749	5227	1742
750	5233	1735
751	5239	1727
752	5245	1720
753	5252	1713
754	5258	1706
755	5265	1699
756	5271	1692
757	5278	1685
758	5285	1678
759	5291	1671
760	5298	1664
761	5304	1656
762	5312	1650
763	5319	1643
764	5328	1636
765	5336	1630
766	5344	1623
767	5351	1616
768	5358	1609
769	5367	1603
770	5374	1596
771	5382	1589
772	5389	1582
773	5396	1575
774	5403	1568
775	5410	1561
776	5416	1554
777	5424	1547
778	5431	1541
779	5441	1534
780	5447	1527
781	5454	1520
782	5460	1513
783	5467	1506
784	5473	1499
785	5480	1492
786	5487	1485
787	5493	1477
788	5500	1470
789	5507	1463
790	5514	1457
791	5521	1450
792	5528	1443
793	5534	1435
794	5540	1428
795	5548	1421
796	5555	1415
797	5562	1407
798	5569	1400
799	5575	1393
800	5582	1386
801	5589	1379
802	5597	1373
803	5603	1366
804	5611	1359
805	5618	1352
806	5631	1346
807	5640	1340
808	5649	1333
809	5657	1327
810	5667	1320
811	5679	1314
812	5691	1309
813	5704	1303
814	5713	1296
815	5728	1291
816	5739	1285
817	5745	1278
818	5758	1272
819	5770	1266
820	5778	1259
821	5789	1253
822	5799	1247
823	5808	1240
824	5818	1234
825	5827	1227
826	5837	1221
827	5849	1215
828	5858	1208
829	5868	1201
830	5875	1194
831	5884	1188
832	5894	1181
833	5901	1174
834	5909	1167
835	5917	1160
836	5924	1153
837	5932	1146
838	5941	1140
839	5948	1133
840	5956	1126
841	5963	1119
842	5970	1111
843	5977	1104
844	5983	1097
845	5989	1090
846	5996	1083
847	6003	1076
848	6009	1068
849	6015	1061
850	6022	1054
851	6028	1047
852	6035	1040
853	6043	1033
854	6050	1026
855	6058	1019
856	6064	1011
857	6071	1004
858	6077	997
859	6084	990
860	6090	983
861	6097	976
862	6103	968
863	6110	961
864	6117	954
865	6123	947
866	6130	940
867	6137	933
868	6144	926
869	6150	919
870	6156	911
871	6162	904
872	6168	897
873	6175	890
874	6183	883
875	6192	876
876	6201	869
877	6209	862
878	6217	855
879	6229	849
880	6238	842
881	6248	835
882	6259	829
883	6268	822
884	6276	815
885	6284	808
886	6291	801
887	6296	794
888	6304	787
889	6309	779
890	6315	772
891	6322	765
892	6327	758
893	6335	751
